2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;...;...;...;...;...;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;...;...;...;...;...;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;1;0;0;...;...;...;...;...;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;0;2;0;1;0;1;...;...;...;...;...;4;
LESÃO CORPORAL DOLOSA;15;12;20;11;21;15;13;...;...;...;...;...;107;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;20;25;29;21;17;12;...;...;...;...;...;136;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;1;1;0;2;0;1;1;...;...;...;...;...;6;
ROUBO - OUTROS (1);24;33;33;41;47;52;59;...;...;...;...;...;289;
ROUBO DE VEÍCULO;9;11;14;9;12;7;8;...;...;...;...;...;70;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;0;1;0;0;...;...;...;...;...;1;
FURTO - OUTROS;69;62;75;68;92;92;92;...;...;...;...;...;550;
FURTO DE VEÍCULO;33;23;24;23;28;29;25;...;...;...;...;...;185;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;1;1;1;1;0;0;0;1;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;1;1;1;0;0;0;1;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;3;1;1;2;1;1;0;0;1;0;0;0;10;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;0;2;0;2;1;1;1;0;1;0;2;12;
LESÃO CORPORAL DOLOSA;39;45;28;25;27;27;13;17;22;21;21;13;298;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;25;40;21;22;24;25;25;34;23;25;33;27;324;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;1;0;1;3;1;0;2;5;2;3;2;1;21;
ROUBO - OUTROS (1);32;26;29;37;31;40;29;35;43;51;33;24;410;
ROUBO DE VEÍCULO;5;13;9;23;13;9;7;8;6;7;15;17;132;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;1;0;0;1;0;0;0;0;2;1;5;
FURTO - OUTROS;81;52;70;51;62;61;74;61;72;56;82;82;804;
FURTO DE VEÍCULO;27;13;36;24;20;30;33;40;33;36;33;26;351;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;1;0;0;0;0;0;1;0;1;1;6;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;1;0;0;0;0;0;1;0;1;1;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;1;0;0;1;0;0;1;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;3;0;1;1;0;0;0;0;1;0;7;
LESÃO CORPORAL DOLOSA;9;9;10;9;12;10;4;7;10;28;30;37;175;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;23;18;22;19;26;19;26;36;32;17;32;25;295;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;0;0;0;1;0;1;0;0;0;0;1;0;3;
ROUBO - OUTROS (1);51;37;55;59;36;45;55;36;43;32;33;25;507;
ROUBO DE VEÍCULO;19;10;13;20;13;8;14;15;10;13;11;13;159;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;1;1;0;1;0;0;1;1;0;0;0;5;
FURTO - OUTROS;94;53;76;65;62;73;76;67;66;79;53;59;823;
FURTO DE VEÍCULO;32;28;20;28;24;22;30;23;23;26;28;22;306;

