2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;0;...;...;...;...;...;1;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;0;...;...;...;...;...;1;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;1;0;...;...;...;...;...;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;0;1;0;0;1;0;...;...;...;...;...;2;
LESÃO CORPORAL DOLOSA;10;8;10;4;14;10;9;...;...;...;...;...;65;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;3;7;6;8;7;2;...;...;...;...;...;40;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;0;0;0;1;0;1;1;...;...;...;...;...;3;
ROUBO - OUTROS (1);22;19;16;26;26;18;23;...;...;...;...;...;150;
ROUBO DE VEÍCULO;0;9;1;2;8;2;5;...;...;...;...;...;27;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;...;...;...;...;...;0;
FURTO - OUTROS;36;37;28;38;44;22;30;...;...;...;...;...;235;
FURTO DE VEÍCULO;13;9;12;16;17;11;17;...;...;...;...;...;95;

2014
