2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;0;0;1;0;0;...;...;...;...;...;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;1;0;0;...;...;...;...;...;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;0;0;0;...;...;...;...;...;2;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
LESÃO CORPORAL DOLOSA;5;6;12;5;15;4;9;...;...;...;...;...;56;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;5;3;7;4;0;0;...;...;...;...;...;28;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;0;0;0;1;1;1;2;...;...;...;...;...;5;
ROUBO - OUTROS (1);16;31;23;11;20;15;22;...;...;...;...;...;138;
ROUBO DE VEÍCULO;3;6;6;6;3;2;5;...;...;...;...;...;31;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;0;1;0;1;...;...;...;...;...;2;
FURTO - OUTROS;40;39;49;51;38;43;31;...;...;...;...;...;291;
FURTO DE VEÍCULO;2;6;6;9;6;9;13;...;...;...;...;...;51;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
