2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;1;1;3;0;2;2;...;...;...;...;...;11;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;1;3;0;2;2;...;...;...;...;...;11;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;1;0;1;0;1;1;...;...;...;...;...;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;3;0;0;2;1;2;2;...;...;...;...;...;10;
LESÃO CORPORAL DOLOSA;31;29;34;36;25;23;22;...;...;...;...;...;200;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;28;34;37;24;28;40;34;...;...;...;...;...;225;
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;0;0;...;...;...;...;...;1;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;0;3;1;5;5;4;0;...;...;...;...;...;18;
ROUBO - OUTROS (1);48;46;74;54;72;89;79;...;...;...;...;...;462;
ROUBO DE VEÍCULO;27;20;23;25;19;30;31;...;...;...;...;...;175;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;1;0;1;2;0;0;0;...;...;...;...;...;4;
FURTO - OUTROS;73;59;74;73;84;66;78;...;...;...;...;...;507;
FURTO DE VEÍCULO;32;37;47;42;51;36;36;...;...;...;...;...;281;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
