2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;3;0;2;3;2;1;...;...;...;...;...;13;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;3;0;2;3;2;1;...;...;...;...;...;13;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;1;0;0;2;0;2;...;...;...;...;...;7;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;0;4;2;1;1;0;...;...;...;...;...;8;
LESÃO CORPORAL DOLOSA;50;35;43;29;35;28;20;...;...;...;...;...;240;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;16;22;20;27;21;31;22;...;...;...;...;...;159;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;3;1;5;0;2;4;2;...;...;...;...;...;17;
ROUBO - OUTROS (1);24;32;42;36;63;45;52;...;...;...;...;...;294;
ROUBO DE VEÍCULO;11;20;11;18;23;13;12;...;...;...;...;...;108;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;1;0;1;1;...;...;...;...;...;3;
FURTO - OUTROS;74;57;52;61;48;64;52;...;...;...;...;...;408;
FURTO DE VEÍCULO;13;27;20;13;13;22;17;...;...;...;...;...;125;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);2;1;1;5;1;2;1;1;3;2;1;1;21;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;1;5;1;2;1;1;3;2;1;1;21;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;2;0;1;0;1;3;2;0;1;1;13;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;5;2;4;2;3;3;0;1;1;4;0;27;
LESÃO CORPORAL DOLOSA;41;46;42;41;39;23;25;21;24;30;33;34;399;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;28;38;39;27;19;27;25;41;28;26;31;27;356;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;1;0;0;0;0;0;0;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;1;0;0;0;0;0;0;0;0;0;1;
ESTUPRO;4;3;2;0;1;4;4;4;2;6;3;2;35;
ROUBO - OUTROS (1);23;42;47;36;44;44;86;51;25;36;47;52;533;
ROUBO DE VEÍCULO;16;15;16;22;31;19;21;16;18;17;30;14;235;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;0;0;4;2;2;0;1;0;0;9;
FURTO - OUTROS;56;58;55;78;70;42;66;38;82;79;66;58;748;
FURTO DE VEÍCULO;12;13;25;11;20;16;19;18;19;19;25;18;215;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);3;4;0;2;0;2;1;3;0;3;0;3;21;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);3;4;0;2;0;2;1;3;0;4;0;3;22;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;0;2;0;1;1;1;1;1;6;1;16;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;3;0;1;0;1;4;3;2;2;2;4;23;
LESÃO CORPORAL DOLOSA;13;7;15;14;5;8;10;5;15;40;30;37;199;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;27;16;20;20;20;20;27;26;23;48;42;301;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;0;0;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;0;0;1;
ESTUPRO;0;0;0;0;0;0;0;0;0;2;3;4;9;
ROUBO - OUTROS (1);39;23;34;36;31;26;35;30;26;29;22;27;358;
ROUBO DE VEÍCULO;11;10;21;12;15;7;9;12;17;25;24;7;170;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;1;0;0;0;0;0;0;0;0;0;1;0;2;
FURTO - OUTROS;62;43;62;63;45;58;54;46;42;49;53;56;633;
FURTO DE VEÍCULO;10;5;10;6;9;17;16;19;12;7;16;20;147;

