2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;1;0;0;0;0;...;...;...;...;...;2;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;0;0;0;0;...;...;...;...;...;2;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;1;1;0;1;...;...;...;...;...;4;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;0;0;...;...;...;...;...;1;
LESÃO CORPORAL DOLOSA;7;8;12;8;7;10;13;...;...;...;...;...;65;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;18;21;15;14;7;15;...;...;...;...;...;102;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;1;1;0;0;0;1;1;...;...;...;...;...;4;
ROUBO - OUTROS (1);19;20;12;22;24;22;37;...;...;...;...;...;156;
ROUBO DE VEÍCULO;7;9;5;4;8;0;6;...;...;...;...;...;39;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;0;0;1;0;...;...;...;...;...;1;
FURTO - OUTROS;37;27;27;27;23;25;36;...;...;...;...;...;202;
FURTO DE VEÍCULO;15;7;14;11;11;10;8;...;...;...;...;...;76;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;1;1;1;0;1;1;0;0;0;0;0;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;1;0;1;1;0;0;0;0;0;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;2;0;0;0;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;1;0;0;0;1;0;0;0;2;
